avgwordsen|avgchrword|avgsylword|nounperc|verbperc|pronperc|adjperc|conjperc|entropy|surprisal
Griaznyi profiessional - Dzhordzh Martin.txt:17.85802|5.33737|2.33915|0.28897|0.16454|0.09298|0.09679|0.08088|8.71535|22.42116
Griezy Fievra - Dzhordzh Martin.txt:9.7177|5.19098|2.25784|0.27814|0.18943|0.10272|0.09365|0.07301|9.9842|23.09135
I smiert_ iegho nasliediie - Dzhordzh Martin.txt:12.09705|5.42065|2.39088|0.28811|0.17789|0.09383|0.10255|0.08755|8.9017|22.50077
Ighra priestolov - Dzhordzh Martin.txt:9.97829|5.20247|2.25487|0.29628|0.19385|0.09423|0.09789|0.07369|10.23674|23.26708
Kamiennyi ghorod - Dzhordzh Martin.txt:9.6394|5.39982|2.32764|0.28659|0.17993|0.06943|0.11286|0.08066|9.65046|25.61011
Khlieba i ryby - Dzhordzh Martin.txt:10.10688|5.43765|2.37744|0.2606|0.17867|0.10858|0.10245|0.07088|9.64572|24.52635
Khranitieli - Dzhordzh Martin.txt:9.64589|5.47596|2.41975|0.25591|0.16332|0.09629|0.12256|0.0791|9.5134|24.72247
Koroli-pustynniki - Dzhordzh Martin.txt:8.26875|5.49539|2.38209|0.2751|0.20472|0.08972|0.09574|0.07423|9.63995|25.67921
Kozyrnyie tuzy - Dzhordzh Martin.txt:9.86124|5.35907|2.35607|0.27048|0.18362|0.10026|0.09569|0.07086|10.44853|25.46528
Kriepost_ - Dzhordzh Martin.txt:8.45008|5.51152|2.3749|0.28724|0.19543|0.10575|0.08464|0.07089|9.06632|23.38428
Liechieniie martyshkami - Dzhordzh Martin.txt:10.55|5.3872|2.34714|0.27322|0.19964|0.091|0.08803|0.07512|9.32579|24.19273
Liedianoi drakon - Dzhordzh Martin.txt:11.87609|5.21746|2.31909|0.28519|0.18744|0.07633|0.10141|0.08713|8.8935|23.42872
Lietiashchiie skvoz_ noch_ - Dzhordzh Martin.txt:9.03199|5.39987|2.35934|0.24595|0.19907|0.12131|0.09686|0.07224|9.52944|24.09114
Manna niebiesnaia - Dzhordzh Martin.txt:9.75257|5.36648|2.33655|0.25273|0.18302|0.1118|0.09983|0.07333|9.45601|23.95827
Miezhievoi Rytsar_ - Dzhordzh Martin.txt:9.86893|4.95213|2.13006|0.29467|0.1828|0.09136|0.08734|0.08366|9.56238|24.84104
Mistfal_ prikhodit utrom - Dzhordzh Martin.txt:9.37099|5.3607|2.35142|0.24177|0.17139|0.09466|0.09938|0.08162|9.06804|23.86788
Nasliedniki Chieriepash_iegho zamka - Dzhordzh Martin.txt:16.41117|5.49737|2.44789|0.32942|0.14197|0.06217|0.11908|0.09187|9.01135|22.69411
Nieistovyie dzhokiery - Dzhordzh Martin.txt:9.4506|5.35248|2.35611|0.2689|0.18869|0.10038|0.094|0.06858|10.33845|24.85142
Noch_ __Vampirov__ - Dzhordzh Martin.txt:9.12946|5.77628|2.52507|0.32714|0.16711|0.06601|0.10196|0.06553|9.50601|24.29759
Odinokiie piesni Lariena Dora - Dzhordzh Martin.txt:8.03257|4.96371|2.19887|0.25994|0.20499|0.12591|0.09955|0.0738|8.73417|22.81136
Pieschanyie koroli - Dzhordzh Martin.txt:7.84941|5.46931|2.41118|0.27423|0.20164|0.10049|0.09958|0.06254|9.44675|24.83455
Piesn_ ghollivudskoi sirieny - Dzhordzh Martin.txt:16.90458|5.4326|2.42135|0.28517|0.15602|0.08219|0.10612|0.08512|8.91663|22.61605
Piesn_ o Lii - Dzhordzh Martin.txt:8.02218|5.00195|2.2302|0.21656|0.19835|0.14596|0.09157|0.0807|9.22132|23.34557
Pir stierviatnikov - Dzhordzh Martin.txt:9.47315|5.05139|2.20533|0.29636|0.17351|0.09837|0.09785|0.07257|10.37198|24.37265
Plamia i krov_ - Dzhordzh Martin.txt:17.09951|5.34347|2.34243|0.33284|0.15763|0.05981|0.10906|0.08405|10.2543|23.69412
Pora zakryvat_sia - Dzhordzh Martin.txt:6.77703|5.07843|2.18672|0.25856|0.21137|0.11831|0.08275|0.06049|8.60082|22.58797
Portaly - Dzhordzh Martin.txt:4.96077|5.36977|2.36372|0.3459|0.18273|0.09765|0.08536|0.04406|9.37609|23.6728
Portriety iegho dietiei - Dzhordzh Martin.txt:7.97598|5.03788|2.19552|0.23466|0.19964|0.13782|0.08321|0.07386|9.16496|23.63549
Povtornaia pomoshch_ - Dzhordzh Martin.txt:10.86455|5.46515|2.37528|0.26366|0.17446|0.10802|0.10794|0.0692|9.51878|24.27751
Prints-nieghodiai, brat korolia - Dzhordzh Martin.txt:19.08235|5.3678|2.3547|0.34869|0.14629|0.05725|0.10463|0.08904|9.2155|23.03083
Printsiessa i korolieva, ili Chiernyie i zielienyie - Dzhordzh Martin.txt:15.78939|5.49534|2.38032|0.34697|0.15608|0.04331|0.11372|0.0907|9.95975|25.36278
Prisiazhnyi rytsar_ - Dzhordzh Martin.txt:9.52867|4.86606|2.11924|0.27947|0.18369|0.09838|0.09552|0.0793|9.67562|25.38965
Put_ kriesta i drakona - Dzhordzh Martin.txt:9.96791|5.4001|2.41095|0.29232|0.16404|0.10507|0.10829|0.07033|9.31258|24.24696
Ruka miertvietsa - Dzhordzh Martin.txt:8.38043|5.2094|2.25383|0.27568|0.2019|0.10747|0.08886|0.06898|10.06318|24.28626
Ryvok k zviezdnomu svietu - Dzhordzh Martin.txt:9.84639|5.3934|2.32094|0.25937|0.18243|0.08437|0.0971|0.06845|9.21247|23.8758
Shiest_ sieriebrianykh pul_ - Dzhordzh Martin.txt:11.20546|5.19953|2.29312|0.28591|0.18684|0.08441|0.08468|0.08031|9.79351|25.18826
Stiekliannyi tsvietok - Dzhordzh Martin.txt:10.03698|5.42191|2.3956|0.26862|0.16186|0.1042|0.13295|0.08009|9.6943|25.68851
Sumieriechnaia zona - Dzhordzh Martin.txt:6.33547|5.09802|2.25812|0.29608|0.18371|0.12914|0.08023|0.05679|8.65963|21.83157
Sviet daliekikh zviezd - Dzhordzh Martin.txt:17.54338|5.38027|2.4087|0.30635|0.14341|0.08563|0.1088|0.07652|8.97746|22.65436
Taniets s drakonami - Dzhordzh Martin.txt:9.82739|5.1674|2.25358|0.29499|0.1762|0.09449|0.10404|0.07718|10.39661|23.1504
Tasuia Dikiie karty - Dzhordzh Martin.txt:15.63492|5.43756|2.45229|0.29746|0.14315|0.09594|0.10406|0.07462|8.61892|21.75239
Tiemnym-tiemno bylo v tunnieliakh - Dzhordzh Martin.txt:7.5229|5.33301|2.27805|0.27371|0.19144|0.07736|0.10269|0.0697|9.15192|23.74951
Tol_ko dieti boiatsia tiemnoty - Dzhordzh Martin.txt:11.47774|5.4713|2.38881|0.30584|0.17503|0.06748|0.12952|0.06954|9.14749|23.41646
Tupikovyi variant - Dzhordzh Martin.txt:8.63442|5.35741|2.32581|0.26142|0.19823|0.09567|0.08543|0.06987|9.92399|26.54493
Umiraiushchii sviet - Dzhordzh Martin.txt:9.54651|5.2829|2.31563|0.26458|0.19054|0.1115|0.09964|0.07136|9.85401|22.91844
V osadie - Dzhordzh Martin.txt:10.03171|5.33057|2.33836|0.25657|0.19324|0.11816|0.10156|0.07894|9.44022|24.80624
V Potieriannykh ziemliakh - Dzhordzh Martin.txt:10.95388|5.1845|2.30062|0.26392|0.18699|0.09722|0.13014|0.07923|9.02549|23.26336
Vkus Tafa - Dzhordzh Martin.txt:16.84034|5.34731|2.39474|0.31487|0.13972|0.08134|0.11078|0.07285|8.44035|21.10606
Vozvrashchieniie na S_Atlem - Dzhordzh Martin.txt:10.88603|5.46336|2.37308|0.26402|0.17443|0.10832|0.10731|0.0689|9.51103|24.22822
Vspominaia Mielodi - Dzhordzh Martin.txt:7.09375|4.88656|2.15476|0.22155|0.22944|0.15639|0.05672|0.0692|8.62412|22.28848
Vtoroi rod odinochiestva - Dzhordzh Martin.txt:7.05492|5.10094|2.2277|0.25262|0.18497|0.12107|0.07463|0.07383|8.53094|21.97189
Vtoroi vid odinochiestva - Dzhordzh Martin.txt:6.50088|5.08871|2.22101|0.24444|0.18692|0.12235|0.07596|0.07461|8.53216|22.10863
Zlotsviety - Dzhordzh Martin.txt:11.07383|5.03907|2.24038|0.275|0.18201|0.09428|0.09662|0.09674|9.0492|24.1356
Zovitie iegho Moisieiem - Dzhordzh Martin.txt:12.56204|5.32351|2.32723|0.24759|0.16245|0.11285|0.10002|0.0729|9.43401|24.09079
Zvier_ dlia Norna - Dzhordzh Martin.txt:10.13761|5.70102|2.47365|0.30113|0.1621|0.06878|0.13699|0.06278|9.79845|25.26408
Sobraniie sochinienii, tom 1. Bielyi vozhd_. Kvartieronka. ssv6t-1 - Tomas Main Rid.txt:11.77181|5.14744|2.28616|0.25354|0.17026|0.10066|0.09638|0.0814|10.16994|23.40445
Sobraniie sochinienii, tom 2. Otsieola, vozhdv. Morskoi volchonok ssv6t-2 - Tomas Main Rid.txt:11.68712|5.13286|2.26677|0.24185|0.18139|0.10804|0.09156|0.08159|10.00453|22.89838
Sobraniie sochinienii, tom 3. Okhotniki za raeriannyie v okieanie ssv6t-3 - Tomas Main Rid.txt:14.12653|5.21903|2.28942|0.25743|0.17364|0.07696|0.09684|0.08392|10.1088|23.06837
Sobraniie sochinienii, tom 4. V diebriakh Iuzotniki za zhirafami. ssv6t-4 - Tomas Main Rid.txt:14.59325|5.21886|2.29414|0.26394|0.17287|0.07443|0.09518|0.08644|10.07232|23.07549
Sobraniie sochinienii, tom 5. Bielaia pierchaakh bielogho bizona. ssv6t-5 - Tomas Main Rid.txt:13.24541|5.22196|2.30242|0.25591|0.17443|0.09076|0.09517|0.08253|10.14726|22.83061
Sobraniie sochinienii, tom 6. Marony. Vsadnik biez gholovy. ssv6t-6 - Tomas Main Rid.txt:10.73893|5.21129|2.29116|0.25383|0.17575|0.09911|0.09545|0.07483|10.14782|22.47157
Val_tier Skott. Sobraniie sochinienii v dvadtsati tomakh. Tom 1 - Lit-oboz.ru.txt:20.18819|5.57751|2.47528|0.2884|0.14868|0.07255|0.11756|0.08436|10.45351|25.17357
Val_tier Skott. Sobraniie sochinienii v dvadtsati tomakh. Tom 10 - Lit-oboz.ru.txt:18.4036|5.3906|2.37742|0.27266|0.15959|0.08889|0.10446|0.08236|10.30353|24.43333
Val_tier Skott. Sobraniie sochinienii v dvadtsati tomakh. Tom 11 - Lit-oboz.ru.txt:15.59581|5.34777|2.35458|0.27478|0.16168|0.09351|0.1012|0.08616|10.30324|24.59727
Val_tier Skott. Sobraniie sochinienii v dvadtsati tomakh. Tom 12 - Lit-oboz.ru.txt:20.58145|5.31584|2.32549|0.25849|0.15304|0.08463|0.11487|0.09196|10.30147|24.67607
Val_tier Skott. Sobraniie sochinienii v dvadtsati tomakh. Tom 13 - Lit-oboz.ru.txt:18.27676|5.38112|2.35769|0.27562|0.15926|0.09325|0.10511|0.08346|10.30919|24.19918
Val_tier Skott. Sobraniie sochinienii v dvadtsati tomakh. Tom 14 - Lit-oboz.ru.txt:17.7378|5.43493|2.39321|0.27874|0.16584|0.08689|0.10196|0.08577|10.33731|24.29991
Val_tier Skott. Sobraniie sochinienii v dvadtsati tomakh. Tom 15 - Lit-oboz.ru.txt:18.65134|5.39615|2.35826|0.27225|0.15519|0.08194|0.11211|0.08523|10.1729|23.78423
Val_tier Skott. Sobraniie sochinienii v dvadtsati tomakh. Tom 16 - Lit-oboz.ru.txt:17.1843|5.33336|2.34026|0.26111|0.161|0.09518|0.10159|0.08516|10.27126|24.67098
Val_tier Skott. Sobraniie sochinienii v dvadtsati tomakh. Tom 17 - Lit-oboz.ru.txt:18.3251|5.28674|2.31074|0.27277|0.17044|0.0919|0.09431|0.08785|10.21124|24.33825
Val_tier Skott. Sobraniie sochinienii v dvadtsati tomakh. Tom 18 - Lit-oboz.ru.txt:18.08682|5.22865|2.2877|0.27261|0.16183|0.09047|0.10194|0.08597|10.40735|24.96223
Val_tier Skott. Sobraniie sochinienii v dvadtsati tomakh. Tom 19 - Lit-oboz.ru.txt:16.27157|5.24887|2.257|0.30027|0.16105|0.07964|0.1125|0.08225|10.53026|26.52094
Val_tier Skott. Sobraniie sochinienii v dvadtsati tomakh. Tom 2 - Lit-oboz.ru.txt:17.22706|5.20848|2.29358|0.26024|0.16152|0.09466|0.09385|0.08667|10.13788|23.02076
Val_tier Skott. Sobraniie sochinienii v dvadtsati tomakh. Tom 20 - Lit-oboz.ru.txt:21.11876|5.64531|2.49981|0.29642|0.14309|0.07151|0.12496|0.08374|10.66575|25.79192
Val_tier Skott. Sobraniie sochinienii v dvadtsati tomakh. Tom 3 - Lit-oboz.ru.txt:14.5707|5.3464|2.34865|0.27794|0.15745|0.08738|0.11056|0.0866|10.45293|25.58646
Val_tier Skott. Sobraniie sochinienii v dvadtsati tomakh. Tom 4 - Lit-oboz.ru.txt:18.91727|5.37319|2.37327|0.26854|0.15925|0.09286|0.10462|0.08612|10.35624|24.30762
Val_tier Skott. Sobraniie sochinienii v dvadtsati tomakh. Tom 5 - Lit-oboz.ru.txt:19.93595|5.29989|2.32617|0.27024|0.15813|0.09315|0.10318|0.08704|10.32483|25.07183
Val_tier Skott. Sobraniie sochinienii v dvadtsati tomakh. Tom 6 - Lit-oboz.ru.txt:17.25758|5.35581|2.36228|0.26845|0.15769|0.08934|0.10611|0.08721|10.28227|24.57908
Val_tier Skott. Sobraniie sochinienii v dvadtsati tomakh. Tom 7 - Lit-oboz.ru.txt:17.873|5.46137|2.39318|0.28881|0.1576|0.08009|0.10839|0.08171|10.45016|24.83831
Val_tier Skott. Sobraniie sochinienii v dvadtsati tomakh. Tom 8 - Lit-oboz.ru.txt:15.64867|5.34176|2.33946|0.28068|0.16331|0.08403|0.1053|0.08291|10.31167|24.87167
Val_tier Skott. Sobraniie sochinienii v dvadtsati tomakh. Tom 9 - Lit-oboz.ru.txt:17.84933|5.43415|2.39508|0.2778|0.15952|0.08584|0.10783|0.08491|10.446|25.75993
Dietiektivnoie aghientstvo Dirka Dzhientli - Dughlas Noel_ Adams.txt:10.77137|5.29157|2.31159|0.24357|0.18511|0.11233|0.09834|0.07792|10.01353|24.58443
Dolghoie chaiepitiie - Dughlas Noel_ Adams.txt:13.0255|5.27582|2.31847|0.23539|0.17909|0.10251|0.09546|0.08027|10.01252|24.44026
Putievoditiel_ khitch-khaikiera po Galaktikie - Dughlas Noel_ Adams.txt:9.53664|5.40153|2.33786|0.24793|0.18783|0.10463|0.09671|0.07213|9.93693|24.82046
Riestoran na kraiu Vsieliennoi - Dughlas Noel_ Adams.txt:9.36347|5.35799|2.31732|0.24207|0.19467|0.10927|0.091|0.07472|9.82202|23.82064
V osnovnom biezvriedna - Dughlas Adams.txt:9.67418|5.37618|2.36179|0.25179|0.17729|0.10308|0.09312|0.06631|10.10596|25.2779
Vsiegho khoroshiegho, i spasibo za rybu! - Dughlas Adams.txt:11.20799|5.40116|2.36117|0.25817|0.18412|0.09235|0.09719|0.07699|10.12297|25.45125
Zafod dielaiet chistuiu rabotu - Dughlas Adams.txt:11.0|5.62458|2.47235|0.2771|0.15556|0.08653|0.13333|0.07273|9.01394|22.90528
Zhizn_, Vsieliennaia i vsie ostal_noie - Dughlas Adams.txt:10.68123|5.58367|2.43807|0.27143|0.17518|0.0833|0.10635|0.06928|10.36257|26.37412
Alisa i drakon_ Fantastichieskiie poviesti i rasskazy - Kir Bulychiev.txt:8.16574|5.14294|2.2767|0.25816|0.20862|0.10072|0.07709|0.08543|10.02822|22.39473
Drievniie tainy_ Fantastichieskiie poviesti - Kir Bulychiev.txt:8.59971|5.10015|2.24491|0.26458|0.20675|0.09814|0.07593|0.08695|10.02344|22.77744
Dva bilieta v Indiiu_ Fantastichieskiie poviesti - Kir Bulychiev.txt:8.55878|5.01396|2.21028|0.25097|0.20894|0.10185|0.07699|0.08809|10.08871|22.59333
Kosmichieskii diesant_ Fantastichieskiie poviesti i rasskazy - Kir Bulychiev.txt:8.29161|5.37472|2.3702|0.28616|0.20342|0.08186|0.08803|0.0756|10.55901|25.10745
Million prikliuchienii_ Fantastichieskiie poviesti - Kir Bulychiev.txt:7.72486|5.17701|2.28316|0.26847|0.21434|0.10047|0.08108|0.07405|10.13107|22.88843
Monumienty Marsa_ Fantastichieskiie rasskazy i p_iesy - Kir Bulychiev.txt:7.387|5.14213|2.27606|0.26349|0.19762|0.11337|0.08118|0.0757|10.42141|24.25172
Opieratsiia __Gadiuka___ Fantastichieskiie romany - Kir Bulychiev.txt:8.14618|5.07587|2.237|0.24176|0.20759|0.11792|0.07983|0.07882|10.10874|22.97229
Podziemiel_ie vied_m_ Fantastichieskiie poviesti - Kir Bulychiev.txt:8.80444|5.12846|2.26449|0.25554|0.20635|0.10987|0.08426|0.07874|10.27223|23.41016
Pokhishchieniie charodieia_ Fantastichieskiie poviesti - Kir Bulychiev.txt:8.05836|5.16387|2.27735|0.27032|0.20566|0.10094|0.0847|0.0735|10.42103|24.23395
Pokushieniie na Tiesieia_ Fantastichieskiie romany - Kir Bulychiev.txt:9.96323|5.25475|2.32461|0.26487|0.19221|0.09808|0.09177|0.08084|10.3109|24.02595
Posielok_ Poviesti - Kir Bulychiev.txt:8.57976|5.17134|2.26081|0.26538|0.2122|0.09088|0.08501|0.07927|10.23291|23.58315
Posliedniie drakony_ Fantastichieskii roman, poviesti - Kir Bulychiev.txt:10.33904|5.29092|2.34484|0.27504|0.19276|0.09216|0.08997|0.08075|10.31998|24.23604
Sto liet tomu vpieried_ Fantastichieskiie proizviedieniia - Kir Bulychiev.txt:7.84926|5.10247|2.25626|0.25298|0.21308|0.10541|0.07529|0.07972|9.96681|21.82073
Takikh nie ubivaiut_ Romany, poviest_ - Kir Bulychiev.txt:8.90182|5.17306|2.30511|0.25314|0.20617|0.10844|0.07756|0.08055|10.0148|22.78411
Vozvrashchieniie iz Trapiezunda_ Fantastichieskiie romany - Kir Bulychiev.txt:10.20094|5.26367|2.32267|0.27505|0.19866|0.09027|0.08989|0.0814|10.27117|23.71737
Zapoviednik dlia akadiemikov_ Fantastichieskiie romany - Kir Bulychiev.txt:10.2146|5.27831|2.33004|0.26815|0.19634|0.09508|0.0913|0.08206|10.32288|24.30045
Zhiertva vtorzhieniia_ Fantastichieskiie poviesti i rasskazy - Kir Bulychiev.txt:9.12263|5.37702|2.37538|0.28918|0.19312|0.08144|0.09017|0.07986|10.5757|25.62997
_ Tom 16. Opasnyie skazki - Kir Bulychiev.txt:8.73147|5.17668|2.29565|0.26599|0.20865|0.09976|0.0789|0.08264|10.12157|22.81476
Absoliutnoie oruzhiie - Garri Garrison.txt:12.82051|5.124|2.31084|0.262|0.194|0.108|0.074|0.11|7.53522|18.22481
Amierikanskiie miertviaki - Garri Garrison.txt:8.61134|5.26164|2.33234|0.28632|0.2031|0.09168|0.08392|0.05994|9.16511|23.96599
Bieghliets - Garri Garrison.txt:9.52733|5.34492|2.34424|0.25515|0.19271|0.10327|0.08674|0.07492|8.91412|22.86533
Biezrabotnyi robot - Garri Garrison.txt:11.25314|5.33886|2.32069|0.28334|0.18411|0.08424|0.10067|0.07626|9.35198|24.5893
Bill - Gieroi Galaktiki - Garri Garrison.txt:11.42872|5.52296|2.40847|0.29287|0.17764|0.07694|0.11167|0.07189|10.57161|27.41483
Bill - Gieroi Galaktiki, na planietie zombi-vampirov - Garri Garrison.txt:8.16801|5.273|2.28496|0.24408|0.20457|0.10331|0.08665|0.06909|9.83532|24.3571
Bill, ghieroi Galaktiki, na planietie niepoznannykh naslazhdienii - Garri Garrison.txt:9.48498|5.58855|2.43359|0.29097|0.18365|0.07739|0.10094|0.07016|10.57092|27.00709
Bill, ghieroi Galaktiki, na planietie robotov-rabov - Garri Garrison.txt:8.88724|5.23528|2.28502|0.2464|0.19276|0.10877|0.09555|0.07494|10.07824|25.26912
Bill, ghieroi Galaktiki, otpravliaietsia v svoi piervyi otpusk - Garri Garrison.txt:10.16601|5.60517|2.41826|0.27177|0.17399|0.0797|0.11042|0.06901|9.60081|24.92164
Bill, ghieroi Galaktiki_ Posliednieie zlopoluchnoie prikliuchieniie - Garri Garrison.txt:10.76593|5.62325|2.43525|0.28146|0.19024|0.07422|0.08836|0.07267|10.35277|26.16454
Bill, Gieroi Galaktiki, na planietie diesiati tysiach barov - Garri Garrison.txt:7.77197|5.3745|2.32437|0.28526|0.18264|0.09068|0.09748|0.07038|10.24883|26.08742
Boievoi rieid - Garri Garrison.txt:12.50962|5.268|2.29131|0.2516|0.19395|0.09249|0.09172|0.08609|9.02769|23.3538
Chiernoie i bieloie - Garri Garrison.txt:8.4165|5.32919|2.34731|0.27923|0.20631|0.09252|0.08678|0.06168|9.23621|24.22325
Chuma iz kosmosa - Garri Garrison.txt:9.71483|5.33687|2.33606|0.27327|0.19146|0.11139|0.08885|0.06668|9.66001|23.35914
Chuvstvo dolgha (Planieta prokliatykh) - Garri Garrison.txt:9.7196|5.27093|2.32549|0.25035|0.19469|0.11859|0.09021|0.07345|9.66318|24.31962
Chuzhaia aghoniia - Garri Garrison.txt:12.04471|5.2145|2.27856|0.24477|0.19984|0.11311|0.0881|0.08205|8.97117|23.503
Da zdravstvuiet transatlantichieskii tuniel_! Ura! - Garri Garrison.txt:15.48825|5.49105|2.39649|0.27155|0.17063|0.07995|0.11272|0.0792|10.40065|26.96152
Daliet-effiekt - Garri Garrison.txt:9.56045|5.43127|2.37443|0.26115|0.18985|0.10058|0.09751|0.07064|10.20515|25.77843
Davlieniie - Garri Garrison.txt:10.70093|5.44699|2.38375|0.24367|0.18306|0.09747|0.09205|0.07563|9.21862|24.13825
Dien_ poslie kontsa svieta - Garri Garrison.txt:7.01639|5.11273|2.20596|0.21028|0.22634|0.14749|0.06688|0.07214|8.63123|22.72808
Domoi, na Ziemliu - Garri Garrison.txt:12.76895|5.527|2.40955|0.27424|0.17769|0.08863|0.10065|0.07082|9.56447|24.95028
Dorogha v 3000 ghod - Garri Garrison.txt:12.02128|6.3115|2.86556|0.33451|0.15752|0.04602|0.13628|0.06903|8.02005|18.74711
Ediem [sbornik] - Garri Garrison.txt:8.68625|5.23135|2.32388|0.25646|0.21181|0.10466|0.08487|0.07721|9.99272|21.78044
Eskadril_ia vampirov - Garri Garrison.txt:10.61791|5.31037|2.32602|0.27917|0.19145|0.08125|0.09559|0.0731|9.12548|23.97189
Etichieskii inzhienier [Spietsialist po etikie_ Moralist] - Garri Garrison.txt:10.7333|5.21791|2.30056|0.25404|0.20135|0.11347|0.0939|0.08097|9.747|24.75845
Fantastichieskaia sagha - Garri Garrison.txt:10.84437|5.27485|2.30349|0.27535|0.1889|0.09429|0.08676|0.07374|9.98943|24.66583
Gosudarstviennyi sluzhashchii - Garri Garrison.txt:9.21341|5.39146|2.33654|0.24487|0.20285|0.11185|0.09232|0.06287|8.78133|21.72584
Ia tiebia vizhu - Garri Garrison.txt:10.23333|5.4931|2.37484|0.2792|0.1911|0.09307|0.09741|0.0636|9.37452|24.49188
Ia vypolniaiu svoiu rabotu - Garri Garrison.txt:9.08989|5.12979|2.28352|0.26576|0.18171|0.12855|0.08776|0.08035|7.43838|18.68626
Iesli - Garri Garrison.txt:8.87565|5.18739|2.30578|0.24927|0.18447|0.10508|0.09807|0.07998|8.55992|21.93433
Intsidient - Garri Garrison.txt:11.2732|5.20119|2.29169|0.23091|0.19159|0.11706|0.10242|0.06904|8.49234|21.92806
Istochnik opasnosti - Garri Garrison.txt:10.61441|5.56367|2.39938|0.27405|0.19661|0.08403|0.10459|0.07086|9.17604|23.56804
Istoriia kontsa - Garri Garrison.txt:11.18318|5.59398|2.46685|0.26047|0.15655|0.08888|0.11359|0.06794|9.11718|23.59999
Iz fanatizma ili za voznaghrazhdieniie - Garri Garrison.txt:9.32512|5.49445|2.39972|0.26624|0.18727|0.09509|0.10882|0.07448|9.16667|23.9622
K-Faktor - Garri Garrison.txt:9.10084|5.49202|2.41486|0.2745|0.19417|0.09854|0.08877|0.07453|9.42929|24.91215
Kak umiral staryi mir - Garri Garrison.txt:8.99281|5.1824|2.24466|0.2384|0.212|0.1192|0.088|0.0752|8.10765|20.95121
Kaliforniiskii aisbiergh - Garri Garrison.txt:9.09524|5.32405|2.3056|0.27532|0.20321|0.07518|0.08775|0.07567|9.58205|25.23213
Kapitan Bork - Garri Garrison.txt:10.87291|5.4211|2.37067|0.28176|0.18671|0.09905|0.10274|0.07352|8.82183|22.88896
Kapitan Gonario Kharpplieiier - Garri Garrison.txt:13.37778|5.63483|2.41137|0.29014|0.17082|0.06534|0.12403|0.07004|9.29758|23.85558
Khranitieli zhizni - Garri Garrison.txt:10.16279|5.56522|2.45739|0.27579|0.17968|0.08705|0.10792|0.07048|9.76637|25.62174
Koghda Boghi kuriat fimiam - Garri Garrison.txt:8.1556|5.17756|2.26284|0.25617|0.21318|0.12999|0.08115|0.06512|8.88942|23.21406
Kol_tsa anakondy - Garri Garrison.txt:10.26185|5.54585|2.41753|0.29338|0.17219|0.07424|0.10946|0.07473|10.49155|25.92299
Koniechnaia stantsiia - Garri Garrison.txt:8.36473|5.23997|2.28653|0.24285|0.20907|0.1106|0.10165|0.07364|8.92568|23.23016
Konnyie varvary - Garri Garrison.txt:10.03354|5.25556|2.30208|0.26646|0.20665|0.10166|0.09219|0.079|9.79939|24.75429
Kosmichieskii vrach - Garri Garrison.txt:9.86292|5.3242|2.32545|0.25687|0.18798|0.10559|0.09359|0.08149|9.60484|24.091
Kosmichieskiie krysy DDD - Garri Maksviell Garrison.txt:12.01235|5.6408|2.43264|0.29034|0.15468|0.07939|0.13489|0.0704|9.45919|24.23334
Krugh niedovieriia (Trienirovochnyi poliet) - Garri Garrison.txt:13.41722|5.39487|2.34274|0.28381|0.19941|0.09378|0.08786|0.07231|9.13733|23.92333
Krysa iz nierzhavieiushchiei stali - Garri Garrison.txt:10.61816|5.21686|2.30708|0.23318|0.19231|0.12928|0.09447|0.07605|9.72324|24.73061
Krysa iz nierzhavieiushchiei stali poiavliaietsia na sviet - Garri Garrison.txt:10.70453|5.14016|2.25871|0.2187|0.1912|0.12821|0.09155|0.08018|9.86843|23.79655
Krysa iz nierzhavieiushchiei stali spasaiet mir - Garri Garrison.txt:10.7738|5.25429|2.32263|0.22544|0.18984|0.12167|0.09979|0.07875|9.84402|25.25706
Kvitzielientsiia - Garri Garrison.txt:9.18167|5.40207|2.37088|0.28118|0.18915|0.09639|0.09312|0.06172|9.46927|24.69334
Linkor v naftalinie - Garri Garrison.txt:7.90769|5.41683|2.37866|0.25754|0.18726|0.09995|0.09533|0.07053|9.16252|24.10365
Maghazin ighrushiek - Garri Garrison.txt:12.24638|5.64793|2.44929|0.28639|0.18225|0.07988|0.11006|0.0787|8.57634|21.8224
Mastier na vsie ruki - Garri Garrison.txt:11.98425|5.3664|2.36238|0.26194|0.18134|0.10534|0.10293|0.07008|9.13208|23.95891
Miest_ krysy iz nierzhavieiushchiei stali - Garri Garrison.txt:11.2582|5.26619|2.33554|0.22819|0.18976|0.12645|0.09946|0.08292|9.92733|24.92734
Miest_ Montiesumy - Garri Garrison.txt:10.61912|5.46853|2.40357|0.28726|0.16858|0.07692|0.10701|0.07071|10.48886|26.79038
Mir na koliesakh - Garri Garrison.txt:8.87842|5.24097|2.28987|0.24229|0.2052|0.11389|0.09337|0.07906|9.74521|24.66343
Mir Rodiny - Garri Garrison.txt:8.98285|5.15903|2.27411|0.23489|0.19557|0.1201|0.09056|0.07823|9.79188|24.76641
Mir smierti (Nieukrotimaia planieta) - Garri Garrison.txt:8.18476|5.15464|2.25778|0.26841|0.20267|0.1029|0.07629|0.07761|9.54842|25.50185
Na ghosudarstviennoi sluzhbie - Garri Garrison.txt:8.1|5.35299|2.30795|0.26337|0.21491|0.11385|0.08459|0.05898|8.57614|21.30782
