avgwordsen|avgchrword|avgsylword|nounperc|verbperc|pronperc|adjperc|conjperc|entropy|surprisal
Miechi Marsa - Edghar Rais Bierrouz.txt:10.25225|4.87658|2.15034|0.21374|0.20918|0.15746|0.07052|0.07937|9.14965|20.76208
Obratno v kamiennyi viek - Edghar Rais Bierrouz.txt:10.26942|4.90685|2.12802|0.23625|0.21258|0.13684|0.06671|0.08238|9.18713|21.11486
Pielliusidar - Edghar Rais Bierrouz.txt:13.91199|5.10902|2.27981|0.24553|0.18971|0.11627|0.08088|0.07911|9.52323|23.29836
Pieshchiernaia dievushka - Edghar Rais Bierrouz.txt:14.3847|5.12772|2.28016|0.25339|0.19005|0.1006|0.08573|0.08693|9.42392|22.0573
Piraty Vieniery - Edghar Bierrouz.txt:12.85111|5.22231|2.30629|0.23214|0.18199|0.12545|0.09247|0.08102|9.69007|23.79426
Poisk Tarzana - Edghar Bierrouz.txt:8.61535|5.17533|2.25158|0.24255|0.21104|0.11857|0.06434|0.07273|9.60447|23.98032
Posliednii iz plieistotsiena - Edghar Bierrouz.txt:10.61377|5.0735|2.23233|0.23041|0.19474|0.13835|0.08557|0.08395|8.97494|23.56927
Potieriannyi kontinient - Edghar Rais Bierrouz.txt:15.2412|5.18904|2.29546|0.23913|0.17382|0.12005|0.09843|0.09174|9.55616|24.06734
Prikliuchieniia Tarzana v dzhunghliakh - Edghar Rais Bierrouz.txt:14.09021|5.28094|2.33166|0.27844|0.17137|0.08042|0.10872|0.08095|9.68923|23.35294
Prikliuchieniia v niedrakh Ziemli - Edghar Bierrouz.txt:9.42548|5.30897|2.32276|0.27585|0.20017|0.08851|0.07758|0.07472|9.78432|25.05482
Proisshiestviie v Okdieilie - Edghar Rais Bierrouz.txt:11.04973|5.26677|2.29064|0.27196|0.18934|0.09076|0.09735|0.08362|9.92631|25.55311
Skielietoidy s Iupitiera - Edghar Rais Bierrouz.txt:11.93464|5.2096|2.31313|0.24246|0.17116|0.13021|0.09638|0.07314|9.37863|23.42474
Sviriepyi Pielliusidar - Edghar Bierrouz.txt:10.56288|5.03493|2.25217|0.25035|0.20713|0.11164|0.06788|0.08174|9.51885|22.96794
Syn Tarzana - Edghar Bierrouz.txt:11.17722|5.13611|2.27938|0.26197|0.19108|0.10659|0.08631|0.07408|9.61947|23.01664
Tanar iz Pielliusidara - Edghar Bierrouz.txt:11.83377|5.20783|2.31174|0.25656|0.18063|0.09839|0.08973|0.07876|9.84124|23.84912
Tarzan - povielitiel_ dzhunghliei - Edghar Rais Bierrouz.txt:9.83537|5.32923|2.318|0.29841|0.19093|0.08803|0.07971|0.07747|9.94301|25.11496
Tarzan -- priiemysh obiez_ian - Edghar Rais Bierrouz.txt:14.37946|5.4102|2.35213|0.28698|0.17146|0.0688|0.10703|0.0818|10.15171|25.06743
Tarzan i chieloviek-liev - Edghar Rais Bierrouz.txt:8.83628|5.19827|2.285|0.25567|0.20595|0.11385|0.07201|0.07693|9.81907|24.43237
Tarzan i chiempion - Edghar Rais Bierrouz.txt:9.83399|5.39845|2.33659|0.28684|0.19494|0.09633|0.08467|0.07154|9.38096|24.49966
Tarzan i Gorod Zolota - Edghar Rais Bierrouz.txt:11.40642|5.25787|2.32134|0.26087|0.19005|0.10968|0.08684|0.07875|9.57481|23.12418
Tarzan i iegho zvieri - Edghar Rais Bierrouz.txt:13.9648|5.26329|2.32524|0.27508|0.17624|0.08732|0.09891|0.07772|9.62507|23.45244
Tarzan i liudi-lieopardy - Edghar Rais Bierrouz.txt:10.62931|5.30632|2.35066|0.25661|0.19285|0.09837|0.09362|0.07766|9.92641|24.92754
Tarzan i liudi-murav_i - Edghar Rais Bierrouz.txt:9.26587|5.38458|2.35979|0.25946|0.20949|0.1015|0.08476|0.07561|9.6881|24.73534
Tarzan i potieriannaia impieriia - Edghar Bierrouz.txt:10.62522|5.44415|2.39502|0.30458|0.18351|0.08692|0.08623|0.07422|9.97581|25.00158
Tarzan i potierpievshiie korabliekrushieniie - Edghar Rais Bierrouz.txt:10.51814|5.2343|2.29206|0.28127|0.19718|0.09494|0.07631|0.0801|9.71661|24.18773
Tarzan i sokrovishcha Opara - Edghar Rais Bierrouz.txt:13.87692|5.28419|2.32826|0.27371|0.17964|0.09015|0.09593|0.07889|9.56732|22.76519
Tarzan i sumasshiedshii - Edghar Rais Bierrouz.txt:9.38425|5.0985|2.23353|0.24694|0.21039|0.12455|0.06327|0.08839|9.38683|23.13883
Tarzan i ubiistvo v dzhunghliakh - Edghar Rais Bierrouz.txt:10.13545|5.33749|2.33582|0.28395|0.18941|0.0938|0.08035|0.07721|9.38286|24.45781
Tarzan i zaprietnyi ghorod - Edghar Bierrouz.txt:9.5|4.96958|2.18983|0.24905|0.21494|0.13469|0.06381|0.07854|9.15182|21.04817
Tarzan i zolotoi liev - Edghar Rais Bierrouz.txt:11.57975|5.272|2.3157|0.26056|0.19444|0.10791|0.08602|0.08385|9.7048|23.57772
Tarzan i __Inostrannyi lieghion__ - Edghar Rais Bierrouz.txt:9.48725|5.16456|2.25706|0.25554|0.20367|0.11648|0.07387|0.07875|9.53136|22.94433
Tarzan Niepobiedimyi - Edghar Rais Bierrouz.txt:13.34206|5.32285|2.35561|0.26935|0.18698|0.09165|0.09098|0.08758|9.8555|24.17661
Tarzan nieukrotimyi - Edghar Rais Bierrouz.txt:11.8231|5.45541|2.39644|0.29014|0.1931|0.07961|0.09261|0.07749|10.01988|24.72175
Tarzan torzhiestvuiushchii - Edghar Bierrouz.txt:10.04265|5.14917|2.28055|0.2539|0.19863|0.12061|0.07922|0.08174|9.48026|22.44813
Tarzan Uzhasnyi - Edghar Rais Bierrouz.txt:10.19977|5.20692|2.29819|0.28597|0.19707|0.09309|0.07564|0.07798|9.6289|24.13304
Tarzan v Pielliusidarie - Edghar Rais Bierrouz.txt:13.63129|5.44766|2.38882|0.2728|0.17319|0.0776|0.10208|0.07619|10.06892|24.73951
Tarzan vielikoliepnyi - Edghar Bierrouz.txt:7.88208|4.89917|2.14553|0.23558|0.20729|0.13682|0.06943|0.07293|9.20938|22.50764
Tuviia, dieva Marsa - Edghar Rais Bierrouz.txt:13.15106|5.31131|2.35396|0.28029|0.16918|0.09331|0.10499|0.07356|9.50553|23.40366
